,,,16day_growth_contition_data_1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1 a few fruits_normal color,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,fine stem,a few insects,many flowers,a few fruits_good color,a few fruits_good color_normal smell,a few fruits_good color_normal smell_especially tasty,a few fruits_good color_normal smell_tasty,a few fruits_good color_good smell,a few fruits_good color_good smell_especially tasty,a few fruits_good color_good smell_tasty,"large, light fruits","large, light fruits_normal smell","large, light fruits_normal smell_especially tasty","large, light fruits_normal smell_tasty","large, light fruits_good smell","large, light fruits_good smell_especially tasty","large, light fruits_good smell_tasty","large, heavy fruits","large, heavy fruits_normal smell","large, heavy fruits_normal smell_especially tasty","large, heavy fruits_normal smell_tasty","large, heavy fruits_good smell","large, heavy fruits_good smell_especially tasty","large, heavy fruits_good smell_tasty","small, heavy fruits","small, heavy fruits_normal smell","small, heavy fruits_normal smell_especially tasty","small, heavy fruits_normal smell_tasty","small, heavy fruits_good smell","small, heavy fruits_good smell_especially tasty","small, heavy fruits_good smell_tasty","small, light fruits","small, light fruits_normal smell","small, light fruits_normal smell_especially tasty","small, light fruits_normal smell_tasty","small, light fruits_good smell","small, light fruits_good smell_especially tasty","small, light fruits_good smell_tasty"
sunny,Apple,Sample1-1,,,,17.40%,72.70%,14.30%,85.70%,23.20%,11.60%,88.40%,78.80%,74.90%,12.40%,87.60%,20.30%,10.60%,89.40%,13.80%,68.20%,23.30%,76.70%,30.90%,15.10%,84.90%,3.91%,59.10%,18.90%,81.10%,39.90%,9.88%,90.10%,3.54%,57.10%,24.70%,75.30%,39.90%,14.40%,85.60%
shade,Apple,Sample1-2,,,,23.40%,69.80%,15.80%,84.20%,29.40%,10.40%,89.60%,76.20%,71.40%,14.10%,85.90%,27.80%,10.50%,89.50%,16.40%,67.00%,24.70%,75.30%,32.10%,13.10%,86.90%,3.46%,57.90%,15.30%,84.70%,41.80%,5.38%,94.60%,3.90%,60.30%,12.80%,87.20%,37.20%,4.66%,95.30%
sunny,Orange,Sample1-5,,,,7.71%,76.30%,15.80%,84.20%,23.20%,10.50%,89.50%,76.60%,78.90%,14.80%,85.20%,20.70%,9.25%,90.80%,19.30%,66.50%,21.80%,78.20%,32.90%,13.80%,86.20%,1.92%,71.90%,15.90%,84.10%,28.10%,8.91%,91.10%,2.17%,75.40%,4.56%,95.40%,23.60%,8.33%,91.70%
shade,Orange,Sample1-6,,,,9.05%,70.90%,19.00%,81.00%,28.50%,12.00%,88.00%,73.20%,73.30%,17.60%,82.40%,26.20%,10.90%,89.10%,23.30%,65.30%,24.50%,75.50%,33.90%,15.80%,84.20%,1.92%,52.30%,21.30%,78.70%,46.90%,5.63%,94.40%,1.60%,66.60%,7.27%,92.70%,32.00%,3.03%,97.00%
sunny,Pineapple,Sample1-7,,,,8.01%,76.40%,18.80%,81.20%,22.90%,11.20%,88.80%,81.10%,78.50%,17.50%,82.50%,20.90%,9.88%,90.10%,16.10%,68.50%,25.40%,74.60%,30.70%,12.20%,87.80%,1.24%,57.70%,31.30%,68.70%,42.30%,21.80%,78.20%,1.51%,66.60%,23.20%,76.80%,31.50%,37.00%,63.00%
shade,Pineapple,Sample1-8,,,,11.80%,72.30%,13.30%,86.70%,27.00%,10.80%,89.20%,81.70%,76.80%,12.30%,87.70%,22.60%,8.69%,91.30%,16.30%,53.90%,21.00%,79.00%,44.90%,15.50%,84.50%,1.27%,26.10%,16.40%,83.60%,73.20%,17.60%,82.40%,0.75%,59.90%,5.49%,94.50%,38.20%,3.45%,96.60%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,a few fruits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,fine stem,a few insects,many flowers,a few fruits,a few fruits_normal smell,a few fruits_normal smell_especially tasty,a few fruits_normal smell_tasty,a few fruits_good smell,a few fruits_good smell_especially tasty,a few fruits_good smell_tasty,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sunny,Apple,Sample1-1.fcs,,,,75.70%,86.00%,4.54%,95.50%,12.00%,6.03%,94.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shade,Apple,Sample1-2.fcs,,,,75.00%,83.00%,5.87%,94.10%,15.80%,6.91%,93.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sunny,Orange,Sample1-5.fcs,,,,76.60%,90.10%,2.46%,97.50%,9.32%,3.47%,96.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shade,Orange,Sample1-6.fcs,,,,78.00%,87.70%,2.95%,97.10%,11.50%,4.40%,95.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sunny,Pineapple,Sample1-7.fcs,,,,78.30%,90.20%,3.21%,96.80%,9.15%,3.86%,96.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shade,Pineapple,Sample1-8.fcs,,,,80.10%,88.20%,2.82%,97.20%,11.20%,4.45%,95.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,many fruits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,fine stem,a few insects,many flowers,many fruits,many fruits_normal smell,many fruits_normal smell_especially tasty,many fruits_normal smell_tasty,many fruits_good smell,many fruits_good smell_especially tasty,many fruits_good smell_tasty,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sunny,Apple,Sample1-1.fcs,,,,24.30%,69.60%,12.90%,87.10%,28.70%,9.74%,90.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shade,Apple,Sample1-2.fcs,,,,25.00%,10.50%,5.73%,94.30%,87.70%,14.40%,85.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sunny,Orange,Sample1-5.fcs,,,,23.40%,71.80%,8.16%,91.80%,27.30%,8.26%,91.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shade,Orange,Sample1-6.fcs,,,,22.00%,22.80%,4.66%,95.30%,75.40%,12.90%,87.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sunny,Pineapple,Sample1-7.fcs,,,,21.70%,71.60%,7.58%,92.40%,27.30%,6.54%,93.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shade,Pineapple,Sample1-8.fcs,,,,19.90%,23.90%,4.11%,95.90%,74.60%,8.48%,91.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
